 INFO  Accepting connections at http://localhost:5959
 HTTP  07/06/2026 21:55:21 ::1 GET /data/08-afrique-oceanie.json
 HTTP  07/06/2026 21:55:21 ::1 Returned 200 in 5 ms
 HTTP  07/06/2026 21:55:21 ::1 Returned 200 in 4 ms
 HTTP  07/06/2026 21:55:21 ::1 Returned 200 in 5 ms
 HTTP  07/06/2026 21:55:21 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:55:21 ::1 GET /data/09-renaissance.json
 HTTP  07/06/2026 21:55:21 ::1 GET /data/10-lumieres.json
 HTTP  07/06/2026 21:55:21 ::1 GET /data/11-industriel.json
 HTTP  07/06/2026 21:55:21 ::1 GET /data/12-xxe.json
 HTTP  07/06/2026 21:55:21 ::1 GET /data/13-xxie.json
 HTTP  07/06/2026 21:55:21 ::1 Returned 200 in 6 ms
 HTTP  07/06/2026 21:55:21 ::1 Returned 200 in 5 ms
 HTTP  07/06/2026 21:55:21 ::1 Returned 200 in 4 ms
 HTTP  07/06/2026 21:55:21 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:55:21 ::1 Returned 200 in 4 ms
 HTTP  07/06/2026 21:56:04 ::1 GET /index.html
 HTTP  07/06/2026 21:56:04 ::1 Returned 301 in 0 ms
 HTTP  07/06/2026 21:56:04 ::1 GET /index
 HTTP  07/06/2026 21:56:04 ::1 Returned 301 in 1 ms
 HTTP  07/06/2026 21:56:04 ::1 GET /
 HTTP  07/06/2026 21:56:04 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:05 ::1 GET /textures/earth_daymap.jpg
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:05 ::1 GET /textures/earth_nightmap.jpg
 HTTP  07/06/2026 21:56:05 ::1 GET /textures/earth_clouds.jpg
 HTTP  07/06/2026 21:56:05 ::1 GET /textures/earth_normal_map.jpg
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:56:05 ::1 GET /textures/earth_specular_map.jpg
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:05 ::1 GET /data/timeline-config.json
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:05 ::1 GET /data/categories.json
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:56:05 ::1 GET /data/eras.json
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 6 ms
 HTTP  07/06/2026 21:56:05 ::1 GET /data/01-prehistoire.json
 HTTP  07/06/2026 21:56:05 ::1 GET /data/02-antiquite.json
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:56:05 ::1 GET /data/03-inde-chine.json
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:05 ::1 GET /data/04-ameriques.json
 HTTP  07/06/2026 21:56:05 ::1 GET /data/05-grece-rome.json
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:56:05 ::1 GET /data/06-moyen-age.json
 HTTP  07/06/2026 21:56:05 ::1 GET /data/07-islam.json
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:56:05 ::1 GET /data/08-afrique-oceanie.json
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:05 ::1 GET /data/09-renaissance.json
 HTTP  07/06/2026 21:56:05 ::1 GET /data/10-lumieres.json
 HTTP  07/06/2026 21:56:05 ::1 GET /data/11-industriel.json
 HTTP  07/06/2026 21:56:05 ::1 GET /data/12-xxe.json
 HTTP  07/06/2026 21:56:05 ::1 GET /data/13-xxie.json
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 4 ms
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 4 ms
 HTTP  07/06/2026 21:56:05 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /index.html
 HTTP  07/06/2026 21:56:44 ::1 Returned 301 in 0 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /index
 HTTP  07/06/2026 21:56:44 ::1 Returned 301 in 0 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /textures/earth_daymap.jpg
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /textures/earth_nightmap.jpg
 HTTP  07/06/2026 21:56:44 ::1 GET /textures/earth_clouds.jpg
 HTTP  07/06/2026 21:56:44 ::1 GET /textures/earth_normal_map.jpg
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /textures/earth_specular_map.jpg
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 6 ms
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 5 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /data/timeline-config.json
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /data/categories.json
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /data/eras.json
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /data/01-prehistoire.json
 HTTP  07/06/2026 21:56:44 ::1 GET /data/02-antiquite.json
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /data/03-inde-chine.json
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /data/04-ameriques.json
 HTTP  07/06/2026 21:56:44 ::1 GET /data/05-grece-rome.json
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /data/06-moyen-age.json
 HTTP  07/06/2026 21:56:44 ::1 GET /data/07-islam.json
 HTTP  07/06/2026 21:56:44 ::1 GET /data/08-afrique-oceanie.json
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /data/09-renaissance.json
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /data/10-lumieres.json
 HTTP  07/06/2026 21:56:44 ::1 GET /data/11-industriel.json
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /data/12-xxe.json
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:44 ::1 GET /data/13-xxie.json
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:56:44 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:57:24 ::1 GET /index.html
 HTTP  07/06/2026 21:57:24 ::1 Returned 301 in 0 ms
 HTTP  07/06/2026 21:57:24 ::1 GET /index
 HTTP  07/06/2026 21:57:24 ::1 Returned 301 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 GET /
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 GET /textures/earth_daymap.jpg
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 GET /textures/earth_nightmap.jpg
 HTTP  07/06/2026 21:57:24 ::1 GET /textures/earth_clouds.jpg
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:57:24 ::1 GET /textures/earth_normal_map.jpg
 HTTP  07/06/2026 21:57:24 ::1 GET /textures/earth_specular_map.jpg
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:57:24 ::1 GET /data/timeline-config.json
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 GET /data/categories.json
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 GET /data/eras.json
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 GET /data/01-prehistoire.json
 HTTP  07/06/2026 21:57:24 ::1 GET /data/02-antiquite.json
 HTTP  07/06/2026 21:57:24 ::1 GET /data/03-inde-chine.json
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 GET /data/04-ameriques.json
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 GET /data/05-grece-rome.json
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 GET /data/06-moyen-age.json
 HTTP  07/06/2026 21:57:24 ::1 GET /data/07-islam.json
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 GET /data/08-afrique-oceanie.json
 HTTP  07/06/2026 21:57:24 ::1 GET /data/09-renaissance.json
 HTTP  07/06/2026 21:57:24 ::1 GET /data/10-lumieres.json
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 GET /data/11-industriel.json
 HTTP  07/06/2026 21:57:24 ::1 GET /data/12-xxe.json
 HTTP  07/06/2026 21:57:24 ::1 GET /data/13-xxie.json
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:24 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /index.html
 HTTP  07/06/2026 21:57:56 ::1 Returned 301 in 1 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /index
 HTTP  07/06/2026 21:57:56 ::1 Returned 301 in 0 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /textures/earth_daymap.jpg
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /textures/earth_nightmap.jpg
 HTTP  07/06/2026 21:57:56 ::1 GET /textures/earth_clouds.jpg
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /textures/earth_normal_map.jpg
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /textures/earth_specular_map.jpg
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /data/timeline-config.json
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /data/categories.json
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /data/eras.json
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /data/01-prehistoire.json
 HTTP  07/06/2026 21:57:56 ::1 GET /data/02-antiquite.json
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /data/03-inde-chine.json
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /data/04-ameriques.json
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /data/05-grece-rome.json
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /data/06-moyen-age.json
 HTTP  07/06/2026 21:57:56 ::1 GET /data/07-islam.json
 HTTP  07/06/2026 21:57:56 ::1 GET /data/08-afrique-oceanie.json
 HTTP  07/06/2026 21:57:56 ::1 GET /data/09-renaissance.json
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /data/10-lumieres.json
 HTTP  07/06/2026 21:57:56 ::1 GET /data/11-industriel.json
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:57:56 ::1 GET /data/12-xxe.json
 HTTP  07/06/2026 21:57:56 ::1 GET /data/13-xxie.json
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:57:56 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /index.html
 HTTP  07/06/2026 21:58:40 ::1 Returned 301 in 0 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /index
 HTTP  07/06/2026 21:58:40 ::1 Returned 301 in 1 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /textures/earth_daymap.jpg
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /textures/earth_nightmap.jpg
 HTTP  07/06/2026 21:58:40 ::1 GET /textures/earth_clouds.jpg
 HTTP  07/06/2026 21:58:40 ::1 GET /textures/earth_normal_map.jpg
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /textures/earth_specular_map.jpg
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /data/timeline-config.json
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /data/categories.json
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /data/eras.json
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /data/01-prehistoire.json
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /data/02-antiquite.json
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /data/03-inde-chine.json
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /data/04-ameriques.json
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /data/05-grece-rome.json
 HTTP  07/06/2026 21:58:40 ::1 GET /data/06-moyen-age.json
 HTTP  07/06/2026 21:58:40 ::1 GET /data/07-islam.json
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /data/08-afrique-oceanie.json
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /data/09-renaissance.json
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:58:40 ::1 GET /data/10-lumieres.json
 HTTP  07/06/2026 21:58:40 ::1 GET /data/11-industriel.json
 HTTP  07/06/2026 21:58:40 ::1 GET /data/12-xxe.json
 HTTP  07/06/2026 21:58:40 ::1 GET /data/13-xxie.json
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:58:40 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:59:14 ::1 GET /index.html
 HTTP  07/06/2026 21:59:14 ::1 Returned 301 in 0 ms
 HTTP  07/06/2026 21:59:14 ::1 GET /index
 HTTP  07/06/2026 21:59:14 ::1 Returned 301 in 1 ms
 HTTP  07/06/2026 21:59:14 ::1 GET /
 HTTP  07/06/2026 21:59:14 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:59:15 ::1 GET /textures/earth_daymap.jpg
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:59:15 ::1 GET /textures/earth_nightmap.jpg
 HTTP  07/06/2026 21:59:15 ::1 GET /textures/earth_clouds.jpg
 HTTP  07/06/2026 21:59:15 ::1 GET /textures/earth_normal_map.jpg
 HTTP  07/06/2026 21:59:15 ::1 GET /textures/earth_specular_map.jpg
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 4 ms
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 3 ms
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:59:15 ::1 GET /data/timeline-config.json
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:59:15 ::1 GET /data/categories.json
 HTTP  07/06/2026 21:59:15 ::1 GET /data/eras.json
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:59:15 ::1 GET /data/01-prehistoire.json
 HTTP  07/06/2026 21:59:15 ::1 GET /data/02-antiquite.json
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:59:15 ::1 GET /data/03-inde-chine.json
 HTTP  07/06/2026 21:59:15 ::1 GET /data/04-ameriques.json
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:59:15 ::1 GET /data/05-grece-rome.json
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:59:15 ::1 GET /data/06-moyen-age.json
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:59:15 ::1 GET /data/07-islam.json
 HTTP  07/06/2026 21:59:15 ::1 GET /data/08-afrique-oceanie.json
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:59:15 ::1 GET /data/09-renaissance.json
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 0 ms
 HTTP  07/06/2026 21:59:15 ::1 GET /data/10-lumieres.json
 HTTP  07/06/2026 21:59:15 ::1 GET /data/11-industriel.json
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:59:15 ::1 GET /data/12-xxe.json
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 1 ms
 HTTP  07/06/2026 21:59:15 ::1 GET /data/13-xxie.json
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 2 ms
 HTTP  07/06/2026 21:59:15 ::1 Returned 200 in 1 ms
